SORT_PIN,PIN_NUMBER,XC3S100E_PIN,XC3S100E_TYPE,XC3S250E_PIN,XC3S250E_TYPE,BANK,DIFFERENCE
1,P1,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX,.
2,P2,IO_L01P_3,I/O,IO_L01P_3,I/O,3,.
3,P3,IO_L01N_3,I/O,IO_L01N_3,I/O,3,.
4,P4,IO_L02P_3,I/O,IO_L02P_3,I/O,3,.
5,P5,IO_L02N_3/VREF_3,VREF,IO_L02N_3/VREF_3,VREF,3,.
6,P6,IP,INPUT,IP,INPUT,3,.
7,P7,IO_L03P_3,I/O,IO_L03P_3,I/O,3,.
8,P8,IO_L03N_3,I/O,IO_L03N_3,I/O,3,.
9,P9,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
10,P10,IO,I/O,IP,INPUT,3,DIFFERENCE
11,P11,GND,GND,GND,GND,GND,.
12,P12,IP/VREF_3,VREF,IP/VREF_3,VREF,3,.
13,P13,VCCO_3,VCCO,VCCO_3,VCCO,3,.
14,P14,IO_L04P_3/LHCLK0,GCLK,IO_L04P_3/LHCLK0,GCLK,3,.
15,P15,IO_L04N_3/LHCLK1,GCLK,IO_L04N_3/LHCLK1,GCLK,3,.
16,P16,IO_L05P_3/LHCLK2,GCLK,IO_L05P_3/LHCLK2,GCLK,3,.
17,P17,IO_L05N_3/LHCLK3/IRDY2,GCLK,IO_L05N_3/LHCLK3/IRDY2,GCLK,3,.
18,P18,IP,INPUT,IP,INPUT,3,.
19,P19,GND,GND,GND,GND,GND,.
20,P20,IO_L06P_3/LHCLK4/TRDY2,GCLK,IO_L06P_3/LHCLK4/TRDY2,GCLK,3,.
21,P21,IO_L06N_3/LHCLK5,GCLK,IO_L06N_3/LHCLK5,GCLK,3,.
22,P22,IO_L07P_3/LHCLK6,GCLK,IO_L07P_3/LHCLK6,GCLK,3,.
23,P23,IO_L07N_3/LHCLK7,GCLK,IO_L07N_3/LHCLK7,GCLK,3,.
24,P24,IP,INPUT,IP,INPUT,3,.
25,P25,IO_L08P_3,I/O,IO_L08P_3,I/O,3,.
26,P26,IO_L08N_3,I/O,IO_L08N_3,I/O,3,.
27,P27,GND,GND,GND,GND,GND,.
28,P28,VCCO_3,VCCO,VCCO_3,VCCO,3,.
29,P29,IO,I/O,IP,INPUT,3,DIFFERENCE
30,P30,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
31,P31,IP/VREF_3,VREF,IO/VREF_3,VREF,3,DIFFERENCE
32,P32,IO_L09P_3,I/O,IO_L09P_3,I/O,3,.
33,P33,IO_L09N_3,I/O,IO_L09N_3,I/O,3,.
34,P34,IO_L10P_3,I/O,IO_L10P_3,I/O,3,.
35,P35,IO_L10N_3,I/O,IO_L10N_3,I/O,3,.
36,P36,IP,INPUT,IP,INPUT,3,.
37,P37,GND,GND,GND,GND,GND,.
38,P38,IP,INPUT,IP,INPUT,2,.
39,P39,IO_L01P_2/CSO_B,DUAL,IO_L01P_2/CSO_B,DUAL,2,.
40,P40,IO_L01N_2/INIT_B,DUAL,IO_L01N_2/INIT_B,DUAL,2,.
41,P41,IP,INPUT,IP,INPUT,2,.
42,P42,VCCO_2,VCCO,VCCO_2,VCCO,2,.
43,P43,IO_L02P_2/DOUT/BUSY,DUAL,IO_L02P_2/DOUT/BUSY,DUAL,2,.
44,P44,IO_L02N_2/MOSI/CSI_B,DUAL,IO_L02N_2/MOSI/CSI_B,DUAL,2,.
45,P45,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
46,P46,GND,GND,GND,GND,GND,.
47,P47,IP_L03P_2,INPUT,IP_L03P_2,INPUT,2,.
