seed 70a266fb88669f73
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.033287 0.012831 0.000539
0.066794 0.041121 0.000806
0.099972 0.015208 0.000145
0.133324 0.030048 0.000586
0.166578 0.039894 0.000693
0.199930 0.006894 0.000365
0.233307 0.024244 0.000257
0.266800 0.032959 0.000963
0.301825 0.020080 0.000660
0.333274 0.020293 0.000483
0.366736 0.020475 0.000479
0.401198 0.024728 0.000343
0.433233 0.040392 0.001396
0.466672 0.039658 0.000385
0.499896 0.025662 0.000869
0.533274 0.059856 0.000908
0.567484 0.020876 0.001316
0.599821 0.067703 0.000956
0.633231 0.013036 0.001044
0.666649 0.041224 0.000568
0.699795 0.044470 0.000821
0.733216 0.036332 0.001243
0.773257 0.054449 0.000536
0.799952 0.014417 0.000501
0.833076 0.050437 0.000486
0.866426 0.024175 0.000539
0.900062 0.028810 0.000504
0.933182 0.003424 0.000729
0.966380 0.030757 0.001443
0.999745 0.020718 0.001149
1.033214 0.007291 0.000622
1.066397 0.005186 0.000333
1.099705 0.020521 0.000718
1.132975 0.014084 0.000067
1.166330 0.032142 0.000956
1.199724 0.040582 0.000615
1.232911 0.032883 0.001222
1.266290 0.066152 0.001012
1.299680 0.008825 0.000637
1.332839 0.055561 0.000769
1.366269 0.023165 0.000222
1.399599 0.014505 0.000531
1.433109 0.010821 0.000625
1.466372 0.013045 0.000523
1.499652 0.026439 0.000565
1.533114 0.020392 0.000792
1.568963 0.021513 0.000129
1.599685 0.029922 0.000810
1.632991 0.016953 0.000019
1.666235 0.014243 0.000369
1.699699 0.034626 0.000918
1.732851 0.030926 0.000481
1.766248 0.017313 0.000514
1.799675 0.009050 0.000651
1.833017 0.014702 0.000706
1.866312 0.015615 0.000703
1.899581 0.022468 0.000318
1.932964 0.034749 0.001301
1.966376 0.029037 0.000536
2.001864 0.005454 0.000138
2.035787 0.038560 0.000895
2.066273 0.032802 0.001063
2.099415 0.040595 0.000588
2.132793 0.042956 0.001124
2.166049 0.053620 0.000770
2.199360 0.026204 0.000883
2.232773 0.064059 0.000949
2.266119 0.016423 0.000783
2.299518 0.054974 0.000868
2.332895 0.016156 0.000447
2.366253 0.043919 0.000812
2.399479 0.028072 0.000452
2.432902 0.022174 0.000467
2.466296 0.009408 0.000509
2.501139 0.001553 0.000181
2.535751 0.014378 0.000309
2.568226 0.015722 0.000455
2.599310 0.013536 0.000363
2.632635 0.018668 0.000443
2.666239 0.016788 0.000204
2.699148 0.016959 0.000754
2.732616 0.045923 0.001036
2.766178 0.009303 0.000567
2.799154 0.038578 0.000508
2.832586 0.013944 0.000156
2.865954 0.016067 0.000457
2.899276 0.023280 0.000474
2.932625 0.016186 0.000744
2.965937 0.019284 0.000164
2.999279 0.009656 0.000263
3.032619 0.002214 0.000102
3.065999 0.043821 0.001272
3.103356 0.002848 0.000895
3.132570 0.012741 0.000409
3.165909 0.016315 0.000429
3.199320 0.032830 0.001103
3.232488 0.020574 0.000122
3.265917 0.041292 0.001210
3.299278 0.038768 0.000292
3.332497 0.028857 0.000906
3.365867 0.027908 0.000356
3.399228 0.007383 0.000442
3.432544 0.030655 0.000820
3.465849 0.028080 0.000432
3.499230 0.045264 0.001453
3.532527 0.031901 0.000702
3.565841 0.026300 0.000629
3.599186 0.023149 0.000448
3.632492 0.015287 0.000294
3.665792 0.009194 0.000436
3.699169 0.012525 0.000267
3.732491 0.021932 0.000913
3.765736 0.009902 0.000504
3.799129 0.019190 0.000352
3.834412 0.001535 0.000485
3.865760 0.024442 0.000501
3.899058 0.009295 0.000456
3.932429 0.033082 0.000701
3.965696 0.029999 0.000482
3.999106 0.039429 0.001207
4.034386 0.024678 0.000429
4.065711 0.022213 0.000450
4.099163 0.041492 0.000625
4.132568 0.029769 0.001251
4.165798 0.046443 0.000664
4.199111 0.025871 0.000438
4.232485 0.043391 0.001091
4.265857 0.051509 0.000650
4.299055 0.038956 0.001341
4.332431 0.040610 0.000192
4.365812 0.011272 0.000250
4.399079 0.041901 0.000768
4.432448 0.018956 0.000165
