seed 4f46adc760541d68
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016999 0.009862 0.001193
0.035425 0.008769 0.000536
0.050051 0.015850 0.000405
0.066609 0.007965 0.000946
0.083204 0.010183 0.000577
0.099980 0.012416 0.000825
0.116590 0.001612 0.000589
0.133199 0.009833 0.000532
0.149804 0.005300 0.000334
0.166618 0.010566 0.000306
0.183201 0.034938 0.001617
0.199832 0.005140 0.001766
0.216546 0.013005 0.000898
0.233209 0.016199 0.001099
0.249814 0.017150 0.000301
0.266544 0.007327 0.000891
0.283149 0.006939 0.000697
0.299816 0.021013 0.001330
0.316549 0.011381 0.000567
0.333173 0.005883 0.000298
0.349770 0.021544 0.001344
0.366438 0.023978 0.002063
0.383178 0.021497 0.000385
0.399805 0.004776 0.000788
0.416405 0.006805 0.000290
0.433199 0.001304 0.000151
0.449838 0.015136 0.000714
0.466420 0.005740 0.000547
0.483148 0.005690 0.000539
0.499816 0.008259 0.000232
0.516428 0.003938 0.000250
0.533163 0.013231 0.000705
0.549764 0.024919 0.000830
0.566449 0.024484 0.000410
0.583030 0.005519 0.001340
0.599767 0.022128 0.001042
0.616362 0.012303 0.000613
0.633086 0.009240 0.000929
0.653013 0.003044 0.000498
0.668800 0.013463 0.000647
0.686421 0.009513 0.001114
0.701603 0.017387 0.000479
0.716417 0.005118 0.001147
0.732986 0.008984 0.000172
0.749779 0.016510 0.000423
0.766398 0.009063 0.001268
0.783061 0.013357 0.000738
0.799600 0.010042 0.000186
0.816413 0.014047 0.000865
0.832994 0.015506 0.001272
0.850662 0.009850 0.001162
0.874070 0.016888 0.000490
0.884386 0.018134 0.000516
0.899618 0.013057 0.000804
0.916379 0.021776 0.001821
0.933600 0.020693 0.001094
0.949786 0.008762 0.001210
0.966539 0.012437 0.000772
0.983079 0.023114 0.001004
0.999768 0.020464 0.000127
1.016359 0.005142 0.000676
1.033112 0.021595 0.001253
1.049770 0.014571 0.000701
1.066388 0.020070 0.001784
1.083022 0.013056 0.001497
1.099795 0.015641 0.000672
1.116341 0.030705 0.001450
1.133139 0.012878 0.001213
1.149680 0.015488 0.001182
1.166410 0.016436 0.000186
1.182909 0.012024 0.000395
1.199973 0.010325 0.000357
1.216394 0.025815 0.001459
1.233249 0.006904 0.001631
1.249694 0.015450 0.000459
1.266488 0.005444 0.000626
1.282891 0.017091 0.001019
1.303068 0.003482 0.000975
1.318608 0.029469 0.001469
1.333600 0.031849 0.000383
1.349588 0.015448 0.000914
1.366225 0.007202 0.000243
1.382783 0.014809 0.000905
1.399431 0.022360 0.000403
1.416142 0.011476 0.000651
1.432810 0.012248 0.000461
1.449417 0.013836 0.000277
1.466158 0.008935 0.001094
1.482847 0.011747 0.000740
1.499558 0.012521 0.000475
1.516268 0.004065 0.000583
1.532846 0.005058 0.000261
1.549662 0.010866 0.000782
1.566328 0.022015 0.000856
1.582873 0.012854 0.000778
1.599398 0.004426 0.000756
1.615993 0.018708 0.000629
1.632848 0.024439 0.000291
1.649403 0.015102 0.000439
1.666007 0.005793 0.000718
1.682754 0.012641 0.000411
1.699505 0.003870 0.000820
1.716015 0.015090 0.000827
1.732773 0.024534 0.001019
1.749380 0.012930 0.000667
1.766390 0.029007 0.001771
1.782773 0.001582 0.001442
1.799839 0.007164 0.000547
1.815993 0.011731 0.000396
1.832874 0.018631 0.001421
1.849410 0.009938 0.001499
1.866000 0.003691 0.000663
1.882614 0.013397 0.000726
1.899380 0.028008 0.000912
1.916008 0.019075 0.000614
1.932628 0.026670 0.000610
1.949385 0.010112 0.001726
1.966011 0.001859 0.000743
1.982634 0.009669 0.000595
1.999362 0.020904 0.001521
2.015982 0.005414 0.000885
2.032637 0.040999 0.002162
2.049292 0.031607 0.000525
2.065966 0.024144 0.000368
2.082865 0.022895 0.000248
2.099253 0.007298 0.000665
2.116007 0.025323 0.001315
2.132610 0.028968 0.000752
2.149229 0.013046 0.001161
2.166192 0.005519 0.000662
2.186762 0.021195 0.001439
2.199468 0.014776 0.000251
2.215946 0.012823 0.000104
