seed edbe610dfd4e71aa
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016637 0.011248 0.000341
0.033278 0.009260 0.000311
0.050017 0.015001 0.000482
0.066561 0.007023 0.001015
0.083248 0.007496 0.000782
0.099886 0.005500 0.000298
0.116464 0.012049 0.000406
0.133086 0.006051 0.000765
0.149912 0.002201 0.000387
0.166499 0.007064 0.000306
0.183262 0.014959 0.000699
0.199834 0.012989 0.000763
0.216741 0.008001 0.000961
0.233126 0.002341 0.000537
0.250099 0.018778 0.000858
0.266497 0.009006 0.000613
0.283257 0.003437 0.000466
0.299731 0.018483 0.001175
0.316657 0.008116 0.000532
0.333086 0.013164 0.000677
0.349870 0.011137 0.000216
0.366490 0.005259 0.000800
0.383260 0.007354 0.000627
0.399729 0.005865 0.000211
0.416599 0.011311 0.000291
0.433116 0.015161 0.001299
0.449727 0.016767 0.000358
0.466369 0.005641 0.000731
0.483357 0.015032 0.000510
0.500912 0.008910 0.000387
0.516508 0.011078 0.000223
0.533086 0.006467 0.000211
0.549707 0.011386 0.000441
0.566441 0.012700 0.001060
0.583099 0.013276 0.000760
0.599775 0.008727 0.000298
0.616353 0.014025 0.001061
0.633113 0.005518 0.000695
0.649718 0.017876 0.001116
0.666431 0.003241 0.000719
0.683000 0.005136 0.000320
0.699858 0.008603 0.000707
0.716404 0.006417 0.000707
0.733089 0.004511 0.000459
0.750131 0.009322 0.000616
0.766657 0.022677 0.000686
0.783078 0.014671 0.000308
0.799839 0.014579 0.001277
0.816551 0.010963 0.000835
0.833450 0.012781 0.000553
0.857056 0.005180 0.000337
0.866613 0.021230 0.001232
0.886509 0.007428 0.000734
0.899677 0.006479 0.000551
0.916297 0.010257 0.000167
0.933091 0.008029 0.000822
0.949534 0.009693 0.000458
0.966463 0.006650 0.000769
0.982970 0.008145 0.000513
0.999781 0.007250 0.000448
1.017263 0.012706 0.000958
1.037549 0.010893 0.001166
1.054274 0.006666 0.000228
1.071569 0.005254 0.000343
1.083095 0.003744 0.000268
1.099794 0.005305 0.000214
1.116455 0.011198 0.000440
1.133510 0.003938 0.000545
1.149963 0.010462 0.000429
1.166756 0.010823 0.000357
1.183173 0.003689 0.000515
1.202115 0.010639 0.000473
1.216343 0.002427 0.000514
1.237947 0.002965 0.000232
1.254525 0.005759 0.000228
1.266310 0.019265 0.001187
1.285665 0.010276 0.000582
1.299750 0.009662 0.000128
1.317083 0.009697 0.000364
1.333072 0.007406 0.000691
1.349968 0.006205 0.000244
1.366435 0.003192 0.000454
1.385761 0.006351 0.000364
1.399809 0.003438 0.000174
1.416715 0.014069 0.000561
1.433035 0.007838 0.000281
1.449814 0.004177 0.000461
1.466270 0.007109 0.000393
1.483020 0.007821 0.000610
1.499543 0.012581 0.000295
1.516166 0.015151 0.000176
1.533200 0.012043 0.001252
1.550478 0.011231 0.000574
1.566588 0.013119 0.000154
1.583324 0.019041 0.000890
1.599664 0.002772 0.000837
1.616835 0.011197 0.000508
1.632870 0.021881 0.001040
1.649938 0.018849 0.000207
1.666395 0.008316 0.000452
1.683565 0.006552 0.000159
1.699685 0.006168 0.000438
1.716318 0.011820 0.000665
1.732862 0.008202 0.000463
1.749647 0.008012 0.000552
1.766258 0.006221 0.000629
1.783139 0.006743 0.000651
1.799765 0.011944 0.000801
1.816788 0.015531 0.000181
1.833217 0.006060 0.000580
1.849451 0.011556 0.000749
1.866228 0.010808 0.001064
1.887635 0.004882 0.000807
1.899360 0.011936 0.000725
1.915984 0.029384 0.000996
1.932519 0.004475 0.001178
1.949362 0.004766 0.000354
1.965987 0.010224 0.000454
1.982602 0.002252 0.000633
1.999370 0.019067 0.000993
2.016300 0.011050 0.000638
2.032926 0.020127 0.000707
2.049857 0.009610 0.000529
2.066206 0.004362 0.000282
2.082951 0.014251 0.000564
2.099921 0.006567 0.000847
2.116641 0.003676 0.000259
2.132831 0.003152 0.000370
2.150151 0.005446 0.000299
2.166261 0.006795 0.000145
2.182930 0.005116 0.000342
2.199466 0.007436 0.000426
2.216388 0.004579 0.000283
