seed 0625df82b164592b
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016687 0.013116 0.001452
0.033391 0.008431 0.000923
0.049876 0.006543 0.000654
0.066613 0.014108 0.001315
0.083241 0.015071 0.000993
0.099944 0.002176 0.001163
0.116513 0.007537 0.000559
0.133354 0.003385 0.000836
0.149910 0.014774 0.001248
0.166565 0.004086 0.001010
0.183251 0.020651 0.001537
0.199853 0.004442 0.001366
0.216546 0.002838 0.000224
0.233314 0.003511 0.000815
0.249834 0.004656 0.000383
0.266508 0.032884 0.002847
0.283139 0.019896 0.001714
0.299949 0.015143 0.000346
0.316490 0.029208 0.001330
0.333188 0.020692 0.001147
0.349890 0.007540 0.000754
0.366551 0.014213 0.001110
0.383105 0.013903 0.000367
0.399950 0.007165 0.000900
0.416507 0.027338 0.001270
0.433167 0.025522 0.000752
0.449703 0.026713 0.000124
0.466484 0.011672 0.001598
0.483116 0.005107 0.000924
0.499809 0.007961 0.000318
0.516471 0.015076 0.000527
0.533213 0.006448 0.001794
0.550134 0.002920 0.000923
0.566537 0.008161 0.000422
0.583148 0.008530 0.000190
0.599690 0.008470 0.000779
0.616421 0.008735 0.000506
0.633040 0.013819 0.000354
0.649634 0.002379 0.000998
0.666623 0.003624 0.000105
0.683128 0.009333 0.000780
0.699726 0.011663 0.000128
0.716355 0.006485 0.000536
0.733268 0.010910 0.000434
0.749698 0.006516 0.000719
0.766533 0.011860 0.000892
0.783101 0.010992 0.000233
0.799810 0.004801 0.000807
0.816366 0.013287 0.000991
0.833143 0.014237 0.001462
0.849669 0.006513 0.001245
0.866402 0.015511 0.000703
0.882951 0.004316 0.001124
0.899694 0.010207 0.000553
0.916331 0.009171 0.001084
0.933116 0.012021 0.001302
0.949752 0.012164 0.000103
0.966670 0.009141 0.000479
0.982920 0.009918 0.001228
0.999696 0.004445 0.000971
1.016479 0.012758 0.000699
1.032927 0.003751 0.001118
1.049766 0.012104 0.000665
1.066354 0.017264 0.000644
1.082938 0.007250 0.000945
1.099577 0.002190 0.000480
1.116296 0.000777 0.000504
1.133411 0.015466 0.001145
1.149562 0.006847 0.001079
1.166427 0.003560 0.000568
1.182885 0.014649 0.001080
1.199613 0.008141 0.000734
1.216338 0.000795 0.000529
1.232913 0.011295 0.000656
1.249583 0.023385 0.000933
1.266557 0.022548 0.000623
1.282929 0.011841 0.000615
1.299843 0.008991 0.000416
1.316602 0.006905 0.000529
1.332904 0.005402 0.001099
1.349487 0.005964 0.000833
1.366120 0.008498 0.000539
1.382851 0.011223 0.000679
1.399508 0.007419 0.000946
1.416117 0.008127 0.000407
1.432813 0.004945 0.000465
1.449458 0.007272 0.000405
1.466112 0.000688 0.000479
1.482943 0.007574 0.000726
1.499444 0.012940 0.001400
1.516189 0.013324 0.001303
1.532708 0.008484 0.000856
1.549623 0.009103 0.000145
1.566066 0.015090 0.000343
1.582968 0.006081 0.001404
1.599488 0.012863 0.000627
1.616078 0.011874 0.001737
1.632679 0.017680 0.001284
1.649422 0.005324 0.001492
1.666078 0.015904 0.001189
1.682705 0.016352 0.001331
1.699380 0.011884 0.001863
1.716066 0.009143 0.001321
1.732742 0.016344 0.001214
1.749326 0.011294 0.001063
1.766083 0.011600 0.000519
1.782866 0.001933 0.000774
1.799620 0.013067 0.000797
1.816066 0.008327 0.000620
1.832917 0.014199 0.000497
1.849296 0.007265 0.001168
1.866379 0.007339 0.000576
1.882844 0.007019 0.000251
1.900159 0.012297 0.000909
1.915865 0.006138 0.000835
1.932640 0.008470 0.001041
1.949298 0.012107 0.001129
1.965883 0.013754 0.000636
1.982629 0.012344 0.000562
1.999299 0.011481 0.000089
2.015928 0.014007 0.000856
2.032640 0.018491 0.000551
2.049268 0.015790 0.000395
2.065909 0.008132 0.000476
2.082656 0.007813 0.000172
2.099266 0.021486 0.001747
2.116073 0.016989 0.001287
2.132508 0.016611 0.000111
2.149307 0.014903 0.000225
2.165865 0.002041 0.001081
2.182511 0.007063 0.000792
2.199287 0.014212 0.000697
2.216667 0.009608 0.000708
