seed 92ba159995c2e676
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016872 0.003340 0.000674
0.033333 0.004761 0.000481
0.050060 0.013733 0.000817
0.066648 0.020592 0.000444
0.083533 0.029226 0.002679
0.099989 0.013582 0.002703
0.116685 0.021142 0.001792
0.133270 0.017793 0.000615
0.150140 0.012921 0.001338
0.166676 0.007259 0.000707
0.183343 0.030461 0.001650
0.200006 0.012271 0.001422
0.216766 0.017573 0.000796
0.233227 0.008123 0.000678
0.249976 0.008123 0.000000
0.266589 0.027296 0.001618
0.283224 0.008086 0.001252
0.300005 0.022206 0.001425
0.316619 0.010413 0.001052
0.333249 0.021726 0.001172
0.349879 0.021726 0.000000
0.366644 0.032265 0.001256
0.383238 0.026827 0.000910
0.399843 0.020279 0.000253
0.416570 0.016253 0.000265
0.433187 0.004678 0.000697
0.449799 0.030979 0.001023
0.466570 0.024159 0.000990
0.483194 0.002212 0.001255
0.499791 0.029443 0.002181
0.516567 0.015034 0.001359
0.533200 0.015034 0.000000
0.549835 0.023575 0.000573
0.566377 0.006082 0.000907
0.583261 0.024974 0.000674
0.599794 0.037962 0.000800
0.616743 0.037660 0.000679
0.633140 0.036392 0.000508
0.650163 0.020562 0.001077
0.666528 0.011859 0.000102
0.683451 0.007843 0.000681
0.699910 0.022924 0.000863
0.716871 0.019641 0.000937
0.733386 0.018754 0.000324
0.750237 0.011792 0.001290
0.766571 0.009882 0.000532
0.783473 0.013087 0.000509
0.800016 0.012132 0.000121
0.816911 0.012005 0.000373
0.833373 0.014750 0.001418
0.850278 0.005628 0.001585
0.866814 0.006450 0.000381
0.883356 0.010619 0.000762
0.900093 0.016151 0.001607
0.916586 0.013774 0.001497
0.933181 0.020102 0.000505
0.950169 0.015295 0.000621
0.966541 0.007042 0.001162
0.983219 0.023399 0.000822
0.999912 0.023031 0.000598
1.016919 0.005027 0.001562
1.033293 0.005475 0.000974
1.050243 0.016711 0.000896
1.066605 0.014891 0.000193
1.083586 0.021969 0.001992
1.099723 0.012808 0.001472
1.116553 0.004939 0.000503
1.133127 0.003149 0.000202
1.149913 0.003149 0.000000
1.166391 0.010435 0.000235
1.183411 0.020303 0.000603
1.199794 0.020303 0.000000
1.216542 0.025871 0.000350
1.233160 0.018439 0.000436
1.249880 0.006908 0.001164
1.266387 0.025542 0.001343
1.283279 0.024395 0.001289
1.299579 0.022513 0.000205
1.316265 0.012145 0.000970
1.332967 0.028447 0.001337
1.349648 0.015653 0.000922
1.366190 0.007199 0.000918
1.382887 0.016140 0.000192
1.399593 0.014534 0.000444
1.416279 0.028127 0.000944
1.432919 0.019699 0.000746
1.449641 0.009872 0.000741
1.466205 0.004623 0.000226
1.482920 0.002627 0.000635
1.499529 0.010551 0.000957
1.516330 0.006830 0.000511
1.532796 0.010898 0.000695
1.549616 0.026335 0.001385
1.566147 0.018487 0.001324
1.582788 0.018487 0.000000
1.599448 0.015604 0.000937
1.616387 0.023822 0.000225
1.632786 0.011956 0.001253
1.649423 0.009301 0.000504
1.666180 0.008941 0.000361
1.682891 0.014991 0.000870
1.699412 0.004638 0.001088
1.716193 0.013209 0.000514
1.732835 0.018760 0.000443
1.749486 0.023202 0.000265
1.766181 0.028036 0.000513
1.782793 0.017865 0.000625
1.799454 0.011944 0.000409
1.816115 0.016013 0.000544
1.832801 0.013564 0.000884
1.849555 0.014959 0.001227
1.866058 0.016523 0.001029
1.882936 0.026441 0.001804
1.899419 0.027336 0.000403
1.916145 0.014124 0.001181
1.932812 0.009887 0.000086
1.949528 0.013181 0.000608
1.966080 0.011389 0.000699
1.983192 0.019577 0.000778
1.999494 0.007524 0.001389
2.016024 0.012101 0.000731
2.032610 0.010789 0.000689
2.049374 0.010254 0.000442
2.066008 0.014830 0.000403
2.082791 0.010772 0.000165
2.099330 0.004985 0.000152
2.116148 0.007160 0.000503
2.132776 0.017514 0.001370
2.149926 0.006466 0.001340
2.166173 0.018645 0.001073
2.182773 0.018645 0.000000
2.199325 0.026989 0.000793
2.216250 0.022355 0.000971
