seed dbaef12415b098dd
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016609 0.036043 0.001123
0.033611 0.025745 0.000201
0.050006 0.052749 0.001669
0.066787 0.028547 0.000153
0.083360 0.027480 0.000865
0.100239 0.069328 0.001786
0.117856 0.015260 0.000624
0.134408 0.002027 0.000149
0.151152 0.025159 0.000619
0.168443 0.030212 0.001089
0.184435 0.030432 0.000402
0.202102 0.030388 0.000732
0.218720 0.052103 0.001506
0.235278 0.014756 0.000694
0.252432 0.031647 0.000728
0.270018 0.026858 0.000519
0.285442 0.069063 0.002004
0.302224 0.013699 0.000613
0.318824 0.019109 0.000388
0.335560 0.030793 0.000897
0.352186 0.038944 0.001409
0.368727 0.041049 0.001515
0.385334 0.061728 0.001087
0.402287 0.014565 0.000421
0.418742 0.052750 0.001437
0.435325 0.011691 0.000630
0.452101 0.034294 0.000929
0.468629 0.054268 0.001717
0.485379 0.040916 0.001706
0.502114 0.029810 0.001061
0.518701 0.035432 0.000996
0.535297 0.031962 0.001237
0.552100 0.033239 0.000471
0.568657 0.001170 0.000386
0.585495 0.029548 0.000718
0.602135 0.028644 0.000412
0.618952 0.026990 0.000647
0.636027 0.044301 0.001341
0.651232 0.021780 0.000317
0.667447 0.009011 0.000436
0.684339 0.009099 0.000266
0.700971 0.025407 0.000744
0.717843 0.045057 0.001447
0.734277 0.021013 0.000118
0.751203 0.056250 0.001675
0.767650 0.075300 0.002598
0.784608 0.075424 0.002905
0.800994 0.064904 0.002665
0.818339 0.034463 0.001607
0.834295 0.004667 0.000530
0.851057 0.026630 0.000613
0.866553 0.035096 0.001201
0.888684 0.019249 0.000202
0.900989 0.022599 0.000721
0.918594 0.046418 0.001422
0.934230 0.029541 0.001270
0.950776 0.044777 0.000995
0.967529 0.012909 0.000910
0.984165 0.043609 0.001230
1.000693 0.033313 0.001029
1.017463 0.046637 0.001435
1.034092 0.011977 0.000909
1.050714 0.018396 0.000534
1.067304 0.022848 0.000783
1.084054 0.029365 0.001048
1.100771 0.058131 0.001192
1.117334 0.014680 0.001093
1.134023 0.027151 0.000549
1.150691 0.027151 0.000000
1.167292 0.004792 0.000467
1.184147 0.011394 0.000205
1.200637 0.002439 0.000121
1.217304 0.008286 0.000429
1.234055 0.015142 0.000293
1.252039 0.056580 0.001613
1.268277 0.040557 0.000284
1.285370 0.010562 0.000553
1.300847 0.047208 0.001173
1.317344 0.015932 0.000998
1.334047 0.030292 0.000610
1.351862 0.023716 0.000981
1.368342 0.012991 0.000512
1.384060 0.038571 0.001082
1.401822 0.061993 0.001110
1.418491 0.035900 0.001616
1.435118 0.031367 0.001174
1.451746 0.047618 0.001175
1.468383 0.041593 0.000864
1.485016 0.032334 0.000326
1.501774 0.020389 0.000767
1.518375 0.050205 0.001047
1.535083 0.039105 0.001659
1.551993 0.033978 0.001343
1.568395 0.030353 0.000326
1.585340 0.056796 0.001816
1.601940 0.047202 0.000483
1.618388 0.031023 0.001357
1.635190 0.044676 0.000859
1.651699 0.011311 0.000439
1.668484 0.028609 0.000849
1.685121 0.025487 0.000724
1.701824 0.011963 0.000616
1.718474 0.008724 0.000396
1.735253 0.017565 0.000473
1.751854 0.039335 0.001072
1.768585 0.033668 0.000484
1.783930 0.013322 0.000610
1.799675 0.007789 0.000086
1.816106 0.016883 0.000376
1.833972 0.006661 0.000338
1.850630 0.048879 0.001162
1.867220 0.032588 0.000342
1.883931 0.048178 0.001580
1.900714 0.029083 0.000378
1.917196 0.042095 0.001438
1.933941 0.016837 0.000942
1.950559 0.011787 0.000286
1.967375 0.013726 0.000209
1.983837 0.018886 0.000332
2.000548 0.048270 0.001432
2.017211 0.005907 0.000720
2.033921 0.037186 0.000931
2.050472 0.042668 0.001116
2.067227 0.064879 0.002178
2.083797 0.050545 0.000549
2.100404 0.005140 0.000749
2.117090 0.041662 0.000949
2.135309 0.030422 0.000427
2.152047 0.032081 0.001198
2.167930 0.019256 0.000270
2.183952 0.025186 0.000418
2.200629 0.039762 0.001503
2.217342 0.013707 0.000728
