seed 01fdaa37c4295026
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.033604 0.014503 0.000426
0.066738 0.006788 0.000052
0.099985 0.015850 0.000735
0.133372 0.011946 0.000520
0.166780 0.030195 0.000971
0.200213 0.007508 0.000803
0.233580 0.022045 0.001117
0.266750 0.023398 0.000933
0.300120 0.036446 0.001019
0.333703 0.025976 0.001371
0.366713 0.015773 0.001477
0.400194 0.019055 0.001159
0.433554 0.024996 0.001093
0.466764 0.010303 0.000876
0.500052 0.010597 0.000871
0.533462 0.005728 0.000320
0.566714 0.006268 0.000382
0.599895 0.011192 0.000454
0.633232 0.015271 0.000705
0.666606 0.011295 0.000510
0.699839 0.018647 0.000499
0.733235 0.004935 0.000468
0.766573 0.011425 0.000663
0.799796 0.020081 0.000777
0.833184 0.009050 0.000275
0.866580 0.012632 0.000232
0.899756 0.032628 0.000818
0.933123 0.008972 0.000611
0.966537 0.031233 0.000487
0.999762 0.008926 0.000266
1.033103 0.035135 0.001088
1.066515 0.039423 0.001683
1.099733 0.010479 0.001289
1.133081 0.020949 0.000700
1.166456 0.014370 0.000547
1.199707 0.007100 0.000157
1.232956 0.015643 0.000316
1.266509 0.014778 0.000454
1.299588 0.025959 0.001007
1.332989 0.011408 0.000948
1.367463 0.009522 0.000334
1.401689 0.016795 0.000626
1.432921 0.014001 0.000623
1.466273 0.028292 0.000580
1.499649 0.045950 0.001665
1.532924 0.029866 0.001508
1.566232 0.033252 0.001443
1.599606 0.021564 0.000785
1.632875 0.008373 0.000608
1.666240 0.030639 0.001089
1.699598 0.002754 0.000709
1.732843 0.013231 0.000950
1.766206 0.027672 0.001119
1.799582 0.020288 0.001306
1.832806 0.006303 0.000726
1.866135 0.029983 0.000968
1.899660 0.002746 0.000549
1.933092 0.017296 0.000194
1.966309 0.022921 0.000833
1.999655 0.020764 0.001140
2.033051 0.007191 0.000953
2.066276 0.043996 0.001199
2.099670 0.012132 0.001092
2.133042 0.028789 0.000494
2.166306 0.018232 0.000675
2.199642 0.036841 0.001065
2.233017 0.008756 0.000650
2.266268 0.025252 0.000641
2.299418 0.044622 0.000926
2.332796 0.033554 0.001455
2.366034 0.032206 0.000771
2.399380 0.010796 0.000560
2.432864 0.029311 0.001502
2.466053 0.024041 0.001282
2.499357 0.027961 0.000637
2.532927 0.039564 0.000970
2.566035 0.022807 0.001070
2.599334 0.007729 0.000743
2.632692 0.017500 0.000807
2.665989 0.036355 0.001417
2.699288 0.021774 0.001411
2.732817 0.014011 0.000662
2.766020 0.024224 0.001228
2.799271 0.029656 0.001351
2.832657 0.012587 0.001025
2.866269 0.029148 0.000822
2.899233 0.033757 0.000813
2.932722 0.044226 0.001562
2.966437 0.016806 0.000791
2.999255 0.043382 0.000980
3.032605 0.013786 0.001076
3.065970 0.022825 0.000211
3.099220 0.022264 0.000893
3.132569 0.002557 0.000678
3.165923 0.044366 0.001647
3.199232 0.021681 0.001492
3.232515 0.049119 0.000552
3.265914 0.017677 0.000158
3.299142 0.056170 0.001367
3.332468 0.034857 0.000226
3.366109 0.017616 0.000445
3.399279 0.023051 0.001006
3.432643 0.025914 0.000627
3.466019 0.008713 0.000141
3.499364 0.047284 0.001154
3.532643 0.014920 0.001194
3.565960 0.017286 0.000794
3.599205 0.006121 0.000394
3.632458 0.006699 0.000583
3.665793 0.026490 0.001091
3.699153 0.019618 0.000267
3.732445 0.051509 0.001639
3.765750 0.027889 0.000928
3.799267 0.031144 0.000648
3.832372 0.016286 0.000350
3.865721 0.018128 0.000823
3.899123 0.021691 0.000735
3.932383 0.016890 0.000230
3.965679 0.027483 0.000901
3.999079 0.020548 0.001229
4.032343 0.027646 0.000232
4.065722 0.038653 0.001206
4.099048 0.018357 0.001270
4.132356 0.003265 0.000920
4.165780 0.014313 0.000827
4.199259 0.010245 0.000317
4.232449 0.026795 0.000806
4.265785 0.035437 0.001305
4.298976 0.005221 0.000707
4.332341 0.007515 0.000496
4.365576 0.040958 0.001255
4.398925 0.011275 0.000794
4.432327 0.030826 0.000496
