seed c89f0fe1a3525e51
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016612 0.065365 0.001532
0.033370 0.051855 0.000467
0.049957 0.044138 0.000277
0.066767 0.055522 0.000673
0.083175 0.060514 0.000411
0.100016 0.032197 0.000437
0.116629 0.097269 0.000882
0.133383 0.019186 0.000091
0.150050 0.069311 0.000421
0.166740 0.068026 0.000450
0.185097 0.005721 0.000084
0.200156 0.043755 0.000828
0.219142 0.015646 0.000291
0.233422 0.051910 0.000864
0.249852 0.021296 0.000435
0.266622 0.029414 0.000792
0.283220 0.014751 0.000287
0.299834 0.043756 0.000766
0.316693 0.020594 0.000597
0.333245 0.040784 0.000176
0.349871 0.067866 0.001159
0.366596 0.059564 0.000289
0.383303 0.032807 0.000509
0.399838 0.071393 0.000647
0.416588 0.046872 0.000924
0.433659 0.068760 0.000195
0.449932 0.032509 0.000318
0.468989 0.032823 0.000428
0.483387 0.121022 0.001679
0.502395 0.062463 0.001783
0.516461 0.071807 0.000435
0.533214 0.048535 0.000646
0.549808 0.063510 0.000313
0.566453 0.052227 0.000616
0.583213 0.077708 0.001132
0.599815 0.080904 0.000587
0.616432 0.054235 0.001063
0.633275 0.021879 0.000707
0.649812 0.027321 0.000316
0.666468 0.051246 0.000623
0.683260 0.030881 0.000049
0.699811 0.068144 0.000937
0.717844 0.016606 0.000406
0.733051 0.000766 0.000529
0.752423 0.034463 0.000521
0.766440 0.047306 0.000623
0.784943 0.014379 0.000516
0.799691 0.071566 0.000692
0.816548 0.037196 0.000200
0.832997 0.015004 0.000094
0.849796 0.067109 0.000691
0.866425 0.065054 0.000684
0.882984 0.037292 0.000522
0.899647 0.083646 0.000500
0.916583 0.042483 0.000854
0.933006 0.118445 0.000671
0.949637 0.047703 0.001043
0.966671 0.073326 0.000692
0.983005 0.063870 0.000793
1.002020 0.034123 0.000489
1.016840 0.078151 0.000494
1.035210 0.014064 0.000398
1.049673 0.140041 0.001670
1.066416 0.026419 0.000967
1.082956 0.050374 0.001316
1.099816 0.091805 0.001330
1.116267 0.091805 0.000000
1.133032 0.055128 0.000616
1.149625 0.055128 0.000000
1.166259 0.061090 0.000752
1.182966 0.061090 0.000000
1.199641 0.023435 0.000683
1.216339 0.023435 0.000000
1.233025 0.036093 0.000507
1.251080 0.021311 0.000376
1.266165 0.059562 0.000766
1.282871 0.058073 0.001310
1.299595 0.047430 0.000873
1.317524 0.024872 0.000968
1.332755 0.016486 0.000284
1.349804 0.078473 0.001140
1.366232 0.003727 0.000923
1.383153 0.037059 0.000282
1.399620 0.039411 0.000944
1.416244 0.064264 0.000566
1.432701 0.048380 0.000566
1.449536 0.035434 0.000261
1.466355 0.036098 0.000293
1.482743 0.063909 0.000940
1.500035 0.046020 0.001039
1.516145 0.060194 0.000131
1.535484 0.029136 0.000551
1.549623 0.053211 0.000444
1.568864 0.025180 0.000262
1.582722 0.010772 0.000178
1.599608 0.017776 0.000190
1.616096 0.043678 0.000904
1.632764 0.011567 0.000340
1.649382 0.020039 0.000436
1.666142 0.043626 0.000715
1.682709 0.027950 0.000746
1.699360 0.039156 0.001142
1.718032 0.027159 0.000864
1.732738 0.075110 0.000754
1.750103 0.034300 0.000535
1.765960 0.056972 0.000565
1.784037 0.073521 0.001113
1.799361 0.035894 0.000371
1.819665 0.050849 0.000436
1.832703 0.016570 0.000542
1.851810 0.051187 0.000321
1.865970 0.051843 0.000881
1.882683 0.043288 0.000776
1.899338 0.009053 0.000409
1.915955 0.036414 0.000289
1.932611 0.006600 0.000425
1.949336 0.041158 0.000748
1.965942 0.029514 0.000308
1.982595 0.018825 0.000150
1.999371 0.021796 0.000066
2.016070 0.046883 0.000634
2.032761 0.024799 0.000401
2.049341 0.056717 0.000588
2.068208 0.033269 0.000615
2.082559 0.031626 0.000667
2.102154 0.081451 0.000910
2.115935 0.046500 0.000512
2.134637 0.098467 0.001459
2.149205 0.019375 0.000943
2.165915 0.060278 0.000493
2.182553 0.041360 0.000361
2.199204 0.097256 0.001376
2.215837 0.031190 0.000820
