seed df4f5a51c4b639ac
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016652 0.015036 0.000838
0.033287 0.016614 0.000998
0.050093 0.004048 0.001218
0.066749 0.009280 0.001206
0.083374 0.010696 0.000319
0.100265 0.008181 0.000839
0.117264 0.002766 0.000873
0.133522 0.006249 0.000793
0.150234 0.003322 0.000968
0.166686 0.011592 0.000878
0.183890 0.016792 0.000717
0.200008 0.008585 0.001119
0.216631 0.003805 0.000109
0.233201 0.011877 0.001154
0.249979 0.002534 0.001464
0.266665 0.006969 0.000467
0.283422 0.007688 0.001070
0.299829 0.004957 0.000596
0.316915 0.000996 0.000365
0.333178 0.011281 0.001575
0.350015 0.003234 0.001828
0.366534 0.004227 0.000797
0.383202 0.004964 0.001036
0.399802 0.006935 0.001169
0.416573 0.011535 0.000134
0.433184 0.011236 0.000434
0.449794 0.003895 0.001074
0.466360 0.016430 0.001115
0.483394 0.017340 0.000622
0.499744 0.007124 0.001442
0.516317 0.002713 0.000642
0.533139 0.004808 0.000294
0.549733 0.007041 0.000254
0.566328 0.012116 0.001270
0.583071 0.011037 0.000774
0.599951 0.014264 0.000887
0.616416 0.009031 0.000811
0.632930 0.006743 0.000221
0.649550 0.012043 0.000973
0.666157 0.012223 0.000131
0.682960 0.006789 0.001439
0.699569 0.002811 0.001159
0.716291 0.004464 0.000620
0.732789 0.004060 0.000955
0.749696 0.005774 0.001396
0.766166 0.007038 0.000954
0.782932 0.013740 0.000508
0.799533 0.004249 0.001342
0.816427 0.005553 0.000944
0.832802 0.007164 0.000252
0.849641 0.014762 0.001115
0.866137 0.014407 0.001009
0.883326 0.017361 0.000717
0.899423 0.002455 0.001616
0.916458 0.009805 0.001663
0.932967 0.011280 0.000359
0.949600 0.003325 0.001252
0.966334 0.005922 0.000754
0.982941 0.003523 0.001197
0.999584 0.002463 0.000290
1.016310 0.008719 0.000900
1.032985 0.002863 0.001236
1.049629 0.009199 0.000642
1.066265 0.004294 0.001068
1.083041 0.021135 0.000737
1.099346 0.027861 0.000660
1.121094 0.024383 0.000566
1.132808 0.018885 0.000251
1.149496 0.025291 0.001088
1.166286 0.033948 0.001065
1.182728 0.024222 0.001121
1.199431 0.010435 0.000794
1.216084 0.003748 0.000237
1.232834 0.015311 0.000775
1.249460 0.021770 0.000627
1.265946 0.006827 0.001935
1.282620 0.017859 0.001904
1.299335 0.021228 0.000301
1.316066 0.021973 0.000707
1.331524 0.011294 0.001026
1.348231 0.005904 0.000208
1.364918 0.008811 0.000565
1.381517 0.011967 0.000807
1.399311 0.019570 0.000611
1.416185 0.024606 0.000128
1.432602 0.037500 0.001155
1.449460 0.030352 0.001284
1.465942 0.022837 0.000975
1.482638 0.011305 0.000855
1.499197 0.011442 0.000794
1.515992 0.005595 0.000812
1.532638 0.002870 0.000660
1.549330 0.010922 0.000595
1.565953 0.014964 0.000334
1.582662 0.011728 0.000751
1.599181 0.008574 0.000606
1.616073 0.012706 0.000959
1.632563 0.012638 0.000906
1.649289 0.005260 0.001297
1.665906 0.007896 0.001092
1.682553 0.021516 0.001071
1.699260 0.015746 0.001501
1.715773 0.013795 0.000902
1.732518 0.021178 0.001935
1.749185 0.030419 0.000794
1.765785 0.016869 0.001975
1.782634 0.011405 0.000102
1.799260 0.012784 0.000572
1.815795 0.009898 0.001151
1.832530 0.019409 0.000960
1.849149 0.023649 0.000537
1.865753 0.018683 0.000809
1.882413 0.016173 0.000871
1.899149 0.019605 0.000743
1.915739 0.018956 0.000091
1.932372 0.012252 0.001532
1.949222 0.021880 0.000333
1.965779 0.021898 0.001018
1.982552 0.021898 0.000000
1.999136 0.029909 0.000594
2.016522 0.042583 0.001381
2.032558 0.035591 0.000835
2.049303 0.025777 0.000288
2.065927 0.015077 0.000544
2.082617 0.022763 0.000825
2.099119 0.027045 0.000748
2.115955 0.030401 0.000764
2.132370 0.029532 0.000179
2.149122 0.025468 0.001046
2.165851 0.016803 0.000934
2.182478 0.021273 0.000717
2.199062 0.015090 0.000973
2.215750 0.019115 0.000623
