seed 32e1d266378ee988
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016743 0.008436 0.000423
0.033247 0.018439 0.001108
0.049844 0.025571 0.002014
0.066583 0.024666 0.000514
0.083488 0.027073 0.000613
0.100045 0.005364 0.001481
0.116603 0.009455 0.000927
0.133400 0.007662 0.000834
0.149924 0.010497 0.000665
0.166555 0.010497 0.000000
0.183289 0.017980 0.000370
0.199893 0.001184 0.001196
0.216541 0.001683 0.000290
0.233266 0.015720 0.001305
0.249891 0.022915 0.000340
0.266504 0.026136 0.000172
0.283289 0.029747 0.000586
0.299907 0.010323 0.001479
0.316933 0.012473 0.000890
0.333133 0.012435 0.001332
0.350771 0.007181 0.001023
0.366467 0.010082 0.000093
0.383269 0.021737 0.001009
0.399883 0.012781 0.001549
0.416792 0.005364 0.000924
0.433154 0.006431 0.000470
0.449863 0.008234 0.000101
0.466479 0.010444 0.000153
0.483852 0.016605 0.000624
0.499882 0.009879 0.000761
0.516457 0.011329 0.000962
0.533104 0.013262 0.001781
0.549874 0.009116 0.000871
0.566490 0.004425 0.000808
0.583314 0.007175 0.000394
0.599869 0.000921 0.000527
0.616619 0.004753 0.000295
0.633338 0.012150 0.001290
0.650080 0.014556 0.001180
0.666461 0.001553 0.001202
0.683453 0.013166 0.001162
0.699845 0.004568 0.000952
0.716828 0.013533 0.001197
0.733193 0.004767 0.001358
0.750595 0.008812 0.000186
0.766578 0.008661 0.000215
0.783913 0.009740 0.000071
0.799929 0.004987 0.001084
0.816333 0.014360 0.000519
0.833742 0.002401 0.001214
0.850737 0.003881 0.000347
0.866863 0.005546 0.000659
0.883297 0.013823 0.001184
0.899774 0.006684 0.000993
0.916407 0.004446 0.000685
0.932998 0.012171 0.000432
0.949781 0.005199 0.000717
0.966371 0.005493 0.000155
0.983106 0.005224 0.000693
0.999759 0.008509 0.000932
1.016366 0.008612 0.001281
1.033025 0.005842 0.000716
1.050686 0.008851 0.000521
1.066232 0.006385 0.000808
1.083917 0.011640 0.000712
1.099617 0.007397 0.000408
1.117434 0.007254 0.000142
1.132896 0.011669 0.001262
1.149567 0.021447 0.001694
1.166593 0.015046 0.000878
1.184419 0.008328 0.001641
1.199566 0.005633 0.000759
1.218660 0.007490 0.000088
1.232990 0.013471 0.001562
1.251784 0.016404 0.000729
1.266344 0.002193 0.001588
1.283092 0.006879 0.001056
1.299609 0.017506 0.000850
1.316452 0.017653 0.000128
1.333001 0.008319 0.001818
1.349714 0.003717 0.001434
1.366266 0.005629 0.000377
1.383243 0.000730 0.000625
1.399688 0.014459 0.000781
1.416461 0.006808 0.000993
1.433170 0.022477 0.001264
1.449809 0.024647 0.000097
1.466276 0.025493 0.000140
1.483191 0.011905 0.001074
1.499710 0.017833 0.001367
1.516874 0.010453 0.000513
1.533023 0.007413 0.000661
1.549795 0.002236 0.000853
1.566307 0.005450 0.000508
1.583019 0.005063 0.000670
1.599665 0.015152 0.000828
1.616410 0.007499 0.001213
1.632927 0.016033 0.001595
1.649773 0.013757 0.001223
1.666389 0.005032 0.000681
1.683071 0.004992 0.000430
1.699770 0.009858 0.001381
1.716347 0.015273 0.001339
1.732924 0.028007 0.001384
1.749792 0.002962 0.002363
1.766288 0.007498 0.000268
1.783008 0.006137 0.000906
1.799461 0.012948 0.000478
1.818356 0.012929 0.000220
1.833908 0.014182 0.000478
1.852457 0.008154 0.001482
1.866264 0.021390 0.001438
1.882896 0.028925 0.000169
1.899491 0.028869 0.000257
1.916597 0.023083 0.001379
1.932857 0.024728 0.001723
1.949645 0.010053 0.001053
1.966302 0.011919 0.000592
1.982879 0.009105 0.000817
1.999457 0.016016 0.000276
2.016194 0.005480 0.001218
2.032876 0.007882 0.000339
2.049509 0.015201 0.001126
2.066100 0.000882 0.001232
2.082911 0.012232 0.001176
2.099482 0.007259 0.000840
2.116141 0.011982 0.000843
2.132875 0.004761 0.001549
2.149502 0.011824 0.001383
2.166221 0.016641 0.000193
2.182880 0.004569 0.001128
2.199647 0.008313 0.000464
2.216144 0.004200 0.000756
